id;descricao;descricao detalhada;unidade de medida;;;;;;
1;359568 - 1,10-FENANTROLINA (ORTO-FENANTROLINA);1,10-FENANTROLINA ORTO (ORTO-FENANTROLINA),ASPECTO FÍSICO PÓ ESBRANQUIÇADO, CRISTALINO ODOR FRACO, PESO MOLECULAR 198,22,FÓRMULAQUÍMICA12H8N2.H20 (MONOHIDRATADA) GRAU DE PUREZA MÍNIMA DE 99%, CARACTERÍSTICA ADICIONAL REAGENTE P.A.;G;;;;;;;;;;;;;
21;406251 - ÁCIDO ASCÓRBICO;ÁCIDO ASCÓRBICO, CRISTAL BRANCO À AMARELADO, C6H8O6 (ÁCIDOL−ASCÓRBICO), 176,13 G/MOL, PUREZA MÍNIMA DE 99,5%,REAGENTE P.A,  CAS 5 0− 8 1 −7,;KG; INODORO; C9H8O4;180;15 G/MOL; PUREZA MÍNIMA DE 99%; REAGENTE USP;CAS 50−78−2.;KG;;;;;
22;377908 - ÁCIDO ASPÁRTICO;ÁCIDO ASPÁRTICO, ASPECTO FÍSICO PÓ BRANCO CRISTALINO, PESO MOLECULAR 133,11, FÓRMULA QUÍMICA C4H7NO4 (ÁCIDO L-ASPÁRTICO), GRAU DE PUREZA MÍNIMA DE 98%, NÚMERO DE REFERÊNCIA QUÍMICA CAS 56-84-8.;G; C6H8O6 (ÁCIDOL−ASCÓRBICO);176;13 G/MOL; PUREZA MÍNIMA DE 99;5%;REAGENTE P.A;  CAS 5 0− 8 1 −7;;KG;;;;
23;376296 - ÁCIDO BENZÓICO;ÁCIDO BENZÓICO, ASPECTO FÍSICO PÓ BRANCO OU CRISTAL INCOLOR, C/ ODOR FORTE, FÓRMULA QUÍMICA C6H5COOH, PESO MOLECULAR 122,12, GRAU DE PUREZA MÍNIMA DE 99,9%, CARACTERÍSTICA ADICIONAL REAGENTE P.A. ACS, NÚMERO DE REFERÊNCIA QUÍMICA CAS 65-85-0.;KG; PESO MOLECULAR 133;11; FÓRMULA QUÍMICA C4H7NO4 (ÁCIDO L-ASPÁRTICO); GRAU DE PUREZA MÍNIMA DE 98%; NÚMERO DE REFERÊNCIA QUÍMICA CAS 56-84-8.;G;;;;;;;
24;361533 - ÁCIDO BÓRICO;ÁCIDO BÓRICO, CRISTAL INCOLOR GRÂNULO BRANCO, INODORO, 61,83 G/MOL, H3BO3,  PUREZA MÍNIMA DE 99,5%, REAGENTE CAS 10043−35−3H3BO3, PUREZA MÍNIMA DE 99,8%, REAGENTE P.A., CAS 10043−35−3.;G; C/ ODOR FORTE; FÓRMULA QUÍMICA C6H5COOH; PESO MOLECULAR 122;12; GRAU DE PUREZA MÍNIMA DE 99;9%; CARACTERÍSTICA ADICIONAL REAGENTE P.A. ACS; NÚMERO DE REFERÊNCIA QUÍMICA CAS 65-85-0.;KG;;;;
25;351610 - ÁCIDO CÍTRICO;ÁCIDO CÍTRICO, ASPECTO FÍSICO CRISTAL INCOLOR, INODORO, SABOR ÁCIDO AGRADÁVEL, FÓRMULA QUÍMICA C6H8O7 ANIDRO, PESO MOLECULAR 192,12, PUREZA MÍNIMA DE 99,5%, CARACTERÍSTICA ADICIONAL REAGENTE P.A. ACS, NÚMERO DE REFERÊNCIA QUÍMICA* CAS 77-92-9.;G; INODORO;61;83 G/MOL; H3BO3;  PUREZA MÍNIMA DE 99;5%; REAGENTE CAS 10043−35−3H3BO3; PUREZA MÍNIMA DE 99;8%; REAGENTE P.A.; CAS 10043−35−3.;G;
26;347336 - ÁCIDO CLORÍDRICO;ÁCIDO CLORÍDRICO, ASPECTO FÍSICO LÍQUIDO LÍMPIDO, INCOLOR/AMARELADO, FUMEGANTE, PESO MOLECULAR 36,46, FÓRMULA QUÍMICA HCL, TEOR  MÍNIMO DE 37%, GRAU DE PUREZA MÍNIMA DE 99%, CARACTERÍSTICA ADICIONAL  REAGENTE P.A. / ACS, NÚMERO DE REFERÊNCIA QUÍMICA CAS 7647-01.;L; INODORO; SABOR ÁCIDO AGRADÁVEL; FÓRMULA QUÍMICA C6H8O7 ANIDRO; PESO MOLECULAR 192;12; PUREZA MÍNIMA DE 99;5%; CARACTERÍSTICA ADICIONAL REAGENTE P.A. ACS; NÚMERO DE REFERÊNCIA QUÍMICA* CAS 77-92-9.;G;;;
27;393102 - ÁCIDO CLOROACÉTICO;ÁCIDO CLOROACÉTICO, ASPECTO FÍSICO PÓ CRISTALINO / FLOCOS BRANCOS,ODOR CARACTERÍSTICO, FÓRMULA QUIMICA CLCH2COOH, PESO MOLECULAR 94,51, GRAU DE PUREZA MÍNIMA DE 98%, NÚMERO DE REFERÊNCIA QUÍMICA CAS 79-11-8.;G; INCOLOR/AMARELADO; FUMEGANTE; PESO MOLECULAR 36;46; FÓRMULA QUÍMICA HCL; TEOR  MÍNIMO DE 37%; GRAU DE PUREZA MÍNIMA DE 99%; CARACTERÍSTICA ADICIONAL  REAGENTE P.A. / ACS; NÚMERO DE REFERÊNCIA QUÍMICA CAS 7647-01.;L;;;
28;366502 - ETILENODIAMINOTETRACÉTICO (EDTA);ÁCIDO ETILENODIAMINOTETRACÉTICO (EDTA), ASPECTO FÍSICO PÓ BRANCO CRISTALINO, PESO MOLECULAR 372,24, FÓRMULA QUÍMICA C10H14N2O8NA2.2H2O (SAL DISSÓDICO DIHIDRATADO), GRAU DE PUREZA MÍNIMA DE 99%, CARACTERÍSTICA ADICIONAL REAGENTE P.A., NÚMERO DE REFERÊNCIA QUÍMICA CAS 6381-92-6.;KG;ODOR CARACTERÍSTICO; FÓRMULA QUIMICA CLCH2COOH; PESO MOLECULAR 94;51; GRAU DE PUREZA MÍNIMA DE 98%; NÚMERO DE REFERÊNCIA QUÍMICA CAS 79-11-8.;G;;;;;;
29;413390 - ÁCIDO FLUORÍDRICO;ÁCIDO FLUORÍDRICO, ASPECTO FÍSICO LÍQUIDO INCOLOR, ODOR ÁCIDO, PESO MOLECULAR 20,01, FÓRMULA QUÍMICA HF, TEOR DE PUREZA PUREZA MÍNIMA DE 90%, CARACTERÍSTICA ADICIONAL REAGENTE ACS, NÚMERO DE REFERÊNCIA QUÍMICA CAS 7664-39-3.;L; PESO MOLECULAR 372;24; FÓRMULA QUÍMICA C10H14N2O8NA2.2H2O (SAL DISSÓDICO DIHIDRATADO); GRAU DE PUREZA MÍNIMA DE 99%; CARACTERÍSTICA ADICIONAL REAGENTE P.A.; NÚMERO DE REFERÊNCIA QUÍMICA CAS 6381-92-6.;KG;;;;;;
30;356960 - ÁCIDO FOSFOMOLÍBDICO;ÁCIDO FOSFOMOLÍBDICO, ASPECTO FÍSICO CRISTAL AMARELO BRILHANTE, CORROSIVO, FÓRMULA QUÍMICA H3[P(MO3 O10)4].X H2O, PESO MOLECULAR (1825,25 G + X H2O), CARACTERÍSTICA ADICIONAL REAGENTE P.A., NÚMERO DE REFERÊNCIA QUÍMICA CAS 51429-74-4.;G; ODOR ÁCIDO; PESO MOLECULAR 20;1; FÓRMULA QUÍMICA HF; TEOR DE PUREZA PUREZA MÍNIMA DE 90%; CARACTERÍSTICA ADICIONAL REAGENTE ACS; NÚMERO DE REFERÊNCIA QUÍMICA CAS 7664-39-3.;L;;;;;
31;352710 - ÁCIDO ORTOFOSFÓRICO;ÁCIDO FOSFÓRICO (OU ÁCIDO ORTOFOSFÓRICO), ASPECTO FÍSICO LÍQUIDO INCOLOR, INODORO, FÓRMULA QUÍMICA H3PO4, PESO MOLECULAR 98,00, TEOR DE PUREZA TEOR MÍNIMO DE 85%, CARACTERÍSTICA ADICIONAL REAGENTE P.A., NÚMERO DE REFERÊNCIA QUÍMICA CAS 7664-38-2.;L; CORROSIVO; FÓRMULA QUÍMICA H3[P(MO3 O10)4].X H2O; PESO MOLECULAR (1825;25 G + X H2O); CARACTERÍSTICA ADICIONAL REAGENTE P.A.; NÚMERO DE REFERÊNCIA QUÍMICA CAS 51429-74-4.;G;;;;;;
32;391931 - ÁCIDO GLUTÂMICO;ÁCIDO GLUTÂMICO, ASPECTO FÍSICO PÓ BEGE, PESO MOLECULAR 147,13, FÓRMULA QUÍMICA C5H9NO4 (ÁCIDO D-GLUTÂMICO), GRAU DE PUREZA MÍNIMA DE 99%, NÚMERO DE REFERÊNCIA QUÍMICA CAS 6893-26-1.;G; INODORO; FÓRMULA QUÍMICA H3PO4; PESO MOLECULAR 98;0; TEOR DE PUREZA TEOR MÍNIMO DE 85%; CARACTERÍSTICA ADICIONAL REAGENTE P.A.; NÚMERO DE REFERÊNCIA QUÍMICA CAS 7664-38-2.;L;;;;;
33;410926 - ÁCIDO INDOLACÉTICO;ÁCIDO INDOLACÉTICO, FÓRMULA QUÍMICA C10H9NO2 (ÁCIDO 3-INDOLACÉTICO), ASPECTO FÍSICO* CRISTAIS ESBRANQUIÇADOS, MASSA MOLECULAR 175,19, GRAU DE PUREZA MÍNIMA DE 99%, CARACTERÍSTICA ADICIONAL TESTADO EM CULTURA DE CÉLULAS VEGETAIS, NÚMERO DE REFERÊNCIA QUÍMICA CAS 87-51-4.;G; PESO MOLECULAR 147;13; FÓRMULA QUÍMICA C5H9NO4 (ÁCIDO D-GLUTÂMICO); GRAU DE PUREZA MÍNIMA DE 99%; NÚMERO DE REFERÊNCIA QUÍMICA CAS 6893-26-1.;G;;;;;;;
34;374630 - ÁCIDO NAFTALOACÉTICO (NAA);ÁCIDO INDOLBUTIRICO – 4,3  (ÁCIDO NAFTALOACÉTICO OU NAFTALENOACETICO, NAA OU ANA), ASPECTO FÍSICO PÓ CRISTALINO ESBRANQUIÇADO À LEVEMENTE AMARELADO, FÓRMULA QUÍMICA C12H10O2 (ÁCIDO 1-NAFTALENO ACÉTICO), PESO MOLECULAR 186,21, GRAU DE PUREZA MÍNIMA DE 97%, CARACTERÍSTICA ADICIONAL REAGENTE TESTADO EM CULTURA DE CÉLULA VEGETAL, NÚMERO DE REFERÊNCIA QUÍMICA CAS 86-87-3  .  FRASCO DE 100G;G; ASPECTO FÍSICO* CRISTAIS ESBRANQUIÇADOS; MASSA MOLECULAR 175;19; GRAU DE PUREZA MÍNIMA DE 99%; CARACTERÍSTICA ADICIONAL TESTADO EM CULTURA DE CÉLULAS VEGETAIS; NÚMERO DE REFERÊNCIA QUÍMICA CAS 87-51-4.;G;;;;;;
35;360205 - ÁCIDO LÁTICO;ÁCIDO LÁTICO, ASPECTO FÍSICO LÍQUIDO XAROPOSO, LEVEMENTE AMARELADO, INODORO, FÓRMULA QUÍMICA C3H6O3 (ÁCIDO DL-LÁTICO), PESO MOLECULAR 90,08, TEOR DE PUREZA TEOR MÍNIMO DE 85%, CARACTERÍSTICA ADICIONAL REAGENTE P.A., NÚMERO DE REFERÊNCIA QUÍMICA CAS 50-21-5.;L; NAA OU ANA); ASPECTO FÍSICO PÓ CRISTALINO ESBRANQUIÇADO À LEVEMENTE AMARELADO; FÓRMULA QUÍMICA C12H10O2 (ÁCIDO 1-NAFTALENO ACÉTICO); PESO MOLECULAR 186;21; GRAU DE PUREZA MÍNIMA DE 97%; CARACTERÍSTICA ADICIONAL REAGENTE TESTADO EM CULTURA DE CÉLULA VEGETAL; NÚMERO DE REFERÊNCIA QUÍMICA CAS 86-87-3  .  FRASCO DE 100G;G;;;;
36;354423 - ÁCIDO MALEICO;ÁCIDO MALEICO (CIS-BUTENODIOICO), ASPECTO FÍSICO CRISTAL BRANCO, ODOR CARACTERÍSTICO, FÓRMULA QUÍMICA C4H4O4, PESO MOLECULAR 116,08, TEOR DE PUREZA MÍNIMA DE 99%, NÚMERO DE REFERÊNCIA QUÍMICA CAS 110-16-7.;KG; LEVEMENTE AMARELADO; INODORO; FÓRMULA QUÍMICA C3H6O3 (ÁCIDO DL-LÁTICO); PESO MOLECULAR 90;8; TEOR DE PUREZA TEOR MÍNIMO DE 85%; CARACTERÍSTICA ADICIONAL REAGENTE P.A.; NÚMERO DE REFERÊNCIA QUÍMICA CAS 50-21-5.;L;;;;
37;389177 - ÁCIDO NICOTÍNICO;ÁCIDO NICOTÍNICO, COMPOSIÇÃO QUÍMICA C6H5N02, PESO MOLECULAR 123,11, ASPECTO FÍSICO PO BRANCO CRISTALINO, SUAVE ODOR DE AMINA, GRAU DE PUREZA MÍNIMA DE 99%, CARACTERÍSTICA ADICIONAL REAGENTE P.A., NÚMERO DE REFERÊNCIA QUÍMICA CAS 59-67-6.;KG; ODOR CARACTERÍSTICO; FÓRMULA QUÍMICA C4H4O4; PESO MOLECULAR 116;8; TEOR DE PUREZA MÍNIMA DE 99%; NÚMERO DE REFERÊNCIA QUÍMICA CAS 110-16-7.;KG;;;;;;
38;377067 - ÁCIDO NÍTRICO;ÁCIDO NÍTRICO, ASPECTO FÍSICO LÍQUIDO INCOLOR A LEVEMENTE AMARELADO, FUMEGANTE, FÓRMULA QUÍMICA HNO3, PESO MOLECULAR 63,01, GRAU DE PUREZA MÍNIMA DE 99,5%, CARACTERÍSTICA ADICIONAL REAGENTE P.A./ ACS, NÚMERO DE REFERÊNCIA QUÍMICA CAS 7697-37-2.;L; PESO MOLECULAR 123;11; ASPECTO FÍSICO PO BRANCO CRISTALINO; SUAVE ODOR DE AMINA; GRAU DE PUREZA MÍNIMA DE 99%; CARACTERÍSTICA ADICIONAL REAGENTE P.A.; NÚMERO DE REFERÊNCIA QUÍMICA CAS 59-67-6.;KG;;;;;
39;347155 - ÁCIDO OXÁLICO;ÁCIDO OXÁLICO, ASPECTO FÍSICO CRISTAL OU PÓ BRANCO CRISTALINO HIGROSCÓPICO, PESO MOLECULAR 90,04, FÓRMULA QUÍMICA C2H2O4 ANIDRO, GRAU DE PUREZA MÍNIMA DE 98%, NÚMERO DE REFERÊNCIA QUÍMICA CAS 144-62-7.;G; FUMEGANTE; FÓRMULA QUÍMICA HNO3; PESO MOLECULAR 63;1; GRAU DE PUREZA MÍNIMA DE 99;5%; CARACTERÍSTICA ADICIONAL REAGENTE P.A./ ACS; NÚMERO DE REFERÊNCIA QUÍMICA CAS 7697-37-2.;L;;;;
